[2019-20] 27 big ponds
  19DEA-28: running total 6 depths
  19DEA-19: running total 8 depths
  19DEA-125411: running total 9 depths
  19DEA-134498: running total 9 depths
  19DEA-139: running total 9 depths
  19DEA-135779: running total 9 depths
  19DEA-36: running total 9 depths
  19DEA-133490: running total 9 depths
  19DEA-28072: running total 9 depths
  19DEA-112515: running total 10 depths
  19DEA-27767: running total 11 depths
  19DEA-89323: running total 11 depths
  19DEA-104447: running total 12 depths
  19DEA-27915: running total 12 depths
  19DEA-26705: running total 12 depths
  19DEA-26092: running total 12 depths
  19CEV-14729: running total 12 depths
  19CEV-3: running total 12 depths
[2019-20] DONE: 12 crossover depths -> crossovers_2019-20.json
