id,label
1,not
2,not
3,unsure
4,water
5,water
6,not
7,not
8,not
9,not
10,not
11,unsure
12,not
13,not
14,water
15,water
16,water
17,water
18,water
19,water
20,water
21,not
22,not
23,not
24,not
25,not
26,not
27,water
28,water
29,water
30,not
31,not
32,not
33,unsure
34,unsure
35,not
36,not
37,not
38,not
39,not
40,not
41,not
42,not
43,not
44,unsure
45,water
46,unsure
47,not
48,not
49,unsure
50,water
51,not
52,not
53,not
54,water
55,water
56,water
57,water
58,water
59,not
60,not
61,not
62,water
63,not
64,not
65,not
66,water
67,not
68,not
69,not
70,water
71,not
72,not
73,not
74,not
75,not
76,not
77,not
78,not
79,not
80,water
81,not
82,not
83,not
84,not
85,not
86,water
87,not
88,not
89,not
90,not
91,water
92,water
93,water
94,not
95,not
96,water
