id,label
1,not
2,water
3,not
4,water
5,not
6,not
7,water
8,not
9,water
10,water
11,not
12,not
13,not
14,not
15,water
16,water
17,water
18,water
19,not
20,water
21,not
22,not
23,not
24,not
25,not
26,not
27,not
28,not
29,not
30,not
31,not
32,water
33,water
34,not
35,water
36,not
37,not
38,not
39,not
40,water
41,not
42,water
43,not
44,not
45,water
46,not
47,not
48,not
49,not
50,not
51,not
52,not
53,not
54,not
55,not
56,not
57,not
58,not
59,not
60,water
61,not
62,not
63,water
64,not
65,water
66,not
