item_id,date,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable
S2B_19CEV_20201114_1_L2A,2020-11-14,0.02816,0.0,0.0,0.97184,37.106,63,0.0063,407.62,0.0015
S2B_19CEV_20201114_0_L2A,2020-11-14,0.0,0.0,0.0,1.0,0.014,77,0.0077,419.43,0.0018
S2B_19CEV_20201124_1_L2A,2020-11-24,0.00021,0.0,0.0,0.99979,22.568,210,0.021,419.34,0.005
S2B_19CEV_20201124_0_L2A,2020-11-24,0.0,0.0,0.0,1.0,0.396,229,0.0229,419.43,0.0055
S2B_19CEV_20201128_0_L2A,2020-11-28,0.0,0.0,0.0,1.0,1.568,223,0.0223,419.43,0.0053
S2B_19CEV_20201204_1_L2A,2020-12-04,0.0081,0.0,0.0,0.9919,52.843,337,0.0337,416.03,0.0081
S2B_19CEV_20201204_0_L2A,2020-12-04,0.0,0.0,0.0,1.0,0.01,389,0.0389,419.43,0.0093
S2B_19CEV_20201225_1_L2A,2020-12-25,0.09998,0.0,0.0,0.89785,27.463,1653,0.1653,376.59,0.0439
S2B_19CEV_20201225_0_L2A,2020-12-25,0.00016,0.0,0.0,0.99936,1.75,2309,0.2309,419.16,0.0551
S2B_19CEV_20210117_0_L2A,2021-01-17,0.00066,0.00203,0.00051,0.99934,7.574,61050,6.105,419.15,1.4565
S2B_19CEV_20210124_0_L2A,2021-01-24,0.0,0.0042,0.0,0.99869,0.002,87990,8.799,418.88,2.1006
S2B_19CEV_20210226_0_L2A,2021-02-26,0.03146,0.0,0.0,0.96854,18.745,3861,0.3861,406.23,0.095
S2B_19CEV_20210308_0_L2A,2021-03-08,0.01265,0.0,0.0,0.98735,28.246,3872,0.3872,414.13,0.0935
