item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20211119_0_L2A,2021-11-19,31.74,5e-05,0.0,1e-05,0.00049,0.99946,3.185,3517,0.3517,3772.85,0.0093,0.3519
S2B_19CEV_20211120_0_L2A,2021-11-20,30.15,0.0,1e-05,0.0,0.00047,0.99947,5.417,7468,0.7468,3772.87,0.0198,0.7472
S2B_19CEV_20211123_1_L2A,2021-11-23,31.34,0.40643,0.0,0.0,0.00049,0.59304,62.566,5039,0.5039,2238.66,0.0225,0.8497
S2B_19CEV_20211123_0_L2A,2021-11-23,31.34,0.0,1e-05,0.0,0.00049,0.99951,11.553,7961,0.7961,3773.04,0.0211,0.7965
S2B_19CEV_20211129_0_L2A,2021-11-29,33.49,0.0,0.0,1e-05,0.00051,0.99949,0.003,6601,0.6601,3772.95,0.0175,0.6604
S2B_19CEV_20211130_0_L2A,2021-11-30,31.8,0.0,1e-05,0.0,0.00047,0.99943,0.002,7523,0.7523,3772.71,0.0199,0.7527
S2B_19CEV_20211219_0_L2A,2021-12-19,34.76,0.09158,0.0,0.00233,0.03033,0.88477,6.418,355,0.0355,3339.89,0.0011,0.0401
S2B_19CEV_20220102_0_L2A,2022-01-02,32.57,0.17742,0.0,0.00529,0.01779,0.81481,44.128,217,0.0217,3075.81,0.0007,0.0266
S2B_19CEV_20220112_0_L2A,2022-01-12,31.05,0.0011,0.0,0.01923,0.02869,0.97131,7.458,34337,3.4337,3666.56,0.0936,3.5351
S2B_19CEV_20220122_0_L2A,2022-01-22,28.93,0.0589,2e-05,0.0,0.00034,0.94073,6.988,591,0.0591,3551.15,0.0017,0.0628
